City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
297,Pacific Grove,US,36.6177,-121.9166,67.39,49,0,11.01,clear sky
298,Sawakin,SD,19.1059,37.3321,82.8,67,17,2.06,few clouds
299,Teknaf,BD,20.8624,92.3058,69.37,65,8,10.92,clear sky
300,Abadiania,BR,-16.2042,-48.7069,79.72,77,99,2.68,moderate rain
301,Sulina,RO,45.1559,29.6536,47.68,72,75,8.39,broken clouds
302,Salvador,SV,13.8333,-88.9167,83.05,55,37,1.16,scattered clouds
303,Isangel,VU,-19.55,169.2667,81.57,76,6,3.29,clear sky
304,Chesley,CA,44.2966,-81.0952,40.8,99,100,6.04,overcast clouds
305,Eloy,US,32.7559,-111.5548,73.85,29,100,1.45,overcast clouds
306,Green River,US,41.5286,-109.4662,37.8,48,1,2.77,clear sky
307,Nanortalik,GL,60.1432,-45.2371,30.7,82,100,3.42,overcast clouds
308,Vigrestad,NO,58.5667,5.7,42.58,83,100,35.32,light rain
309,Katsuura,JP,35.1333,140.3,60.15,84,100,12.75,light rain
310,Vestmannaeyjar,IS,63.4427,-20.2734,40.57,65,13,18.52,few clouds
311,Bud,US,39.447,-86.1758,57.67,34,0,12.24,clear sky
312,Lavrentiya,RU,65.5833,-171.0,4.06,86,100,16.84,overcast clouds
313,Pangody,RU,65.85,74.4859,-25.82,99,21,4.97,few clouds
314,Kokopo,PG,-4.352,152.2633,77.47,75,100,3.49,overcast clouds
315,Warrington,GB,53.3925,-2.5802,47.86,91,75,3.44,broken clouds
316,Port-Gentil,GA,-0.7193,8.7815,80.56,89,40,9.22,scattered clouds
317,Zhezkazgan,KZ,47.8043,67.7144,24.48,95,21,4.27,few clouds
318,Cherskiy,RU,68.75,161.3,-38.49,100,43,1.5,scattered clouds
319,Greenville,US,35.6127,-77.3663,62.76,38,0,0.0,clear sky
320,Oktyabrskoye,RU,43.0645,44.7417,32.14,93,74,0.0,fog
321,Lianyuan,CN,27.6883,111.6642,57.7,88,95,2.95,overcast clouds
322,Burgeo,CA,47.6167,-57.6152,31.35,68,38,26.31,scattered clouds
323,Krasnoselkup,RU,65.7,82.4667,-23.69,98,45,8.66,scattered clouds
324,Puerto Escondido,MX,15.85,-97.0667,88.63,58,20,3.44,few clouds
325,Powell River,CA,49.8496,-124.5361,46.4,100,100,10.36,mist
326,Cabedelo,BR,-6.9811,-34.8339,77.67,71,100,13.33,overcast clouds
327,Nancha,CN,47.1333,129.2667,15.51,70,100,0.63,overcast clouds
328,Adrar,MR,20.5022,-10.0711,66.92,16,0,11.72,clear sky
329,Axim,GH,4.8699,-2.2405,79.07,83,25,7.52,scattered clouds
330,Champaign,US,40.1334,-88.2001,58.71,38,0,18.99,clear sky
331,Opuwo,NA,-18.0607,13.84,76.66,49,98,10.42,overcast clouds
332,Smithers,CA,54.7804,-127.1743,30.52,100,100,3.44,fog
333,Panjab,AF,34.388,67.0233,18.77,69,0,4.94,clear sky
334,Mujiayingzi,CN,42.1167,118.7833,33.24,61,20,6.73,few clouds
335,Ruteng,ID,-8.6136,120.4721,62.71,85,100,0.98,overcast clouds
336,Norrkoping,SE,58.5942,16.1826,34.79,93,100,6.91,overcast clouds
337,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,63,75,16.11,broken clouds
338,Ust-Nera,RU,64.5667,143.2,-13.31,100,100,2.98,overcast clouds
339,Ylivieska,FI,64.0833,24.55,20.88,97,97,3.02,overcast clouds
340,Gornopravdinsk,RU,60.05,69.9,-12.5,96,7,5.93,clear sky
341,Takoradi,GH,4.8845,-1.7554,79.95,80,54,7.61,broken clouds
342,Bistret,RO,43.9,23.5,48.09,59,100,14.7,overcast clouds
343,Ayan,RU,56.45,138.1667,9.55,70,53,14.05,broken clouds
